DCorr,MGC,n,dataset
0.122,0.019,80,nonlinear
0.015,0.003,80,nonlinear
0.05,0.009,80,nonlinear
0.035,0.015,80,nonlinear
0.074,0.009,80,nonlinear
0.026,0.004,80,nonlinear
0.006,0.001,80,nonlinear
0.033,0.002,80,nonlinear
0.701,0.704,80,nonlinear
0.096,0.011,80,nonlinear
0.101,0.018,80,nonlinear
0.016,0.005,80,nonlinear
0.035,0.002,80,nonlinear
0.079,0.016,80,nonlinear
0.052,0.004,80,nonlinear
0.045,0.005,80,nonlinear
0.028,0.006,80,nonlinear
0.027,0.001,80,nonlinear
0.018,0.001,80,nonlinear
0.062,0.016,80,nonlinear
0.091,0.017,80,nonlinear
0.917,0.926,90,equal
0.408,0.401,90,equal
0.087,0.079,90,equal
0.399,0.411,90,equal
0.941,0.916,90,equal
0.553,0.551,90,equal
0.998,1.0,90,equal
0.416,0.419,90,equal
0.102,0.1,90,equal
0.72,0.711,90,equal
0.69,0.673,90,equal
0.117,0.127,90,equal
0.414,0.398,90,equal
0.034,0.015,90,equal
0.738,0.71,90,equal
0.315,0.295,90,equal
0.835,0.834,90,equal
0.11,0.103,90,equal
0.939,0.938,90,equal
0.484,0.478,90,equal
0.216,0.222,90,equal
0.442,0.436,90,equal
0.939,0.942,90,equal
0.5,0.498,90,equal
0.76,0.764,90,equal
0.052,0.091,90,equal
0.082,0.089,90,equal
0.786,0.815,90,equal
0.823,0.817,90,equal
0.368,0.362,90,equal
0.631,0.67,90,equal
0.22,0.225,90,equal
0.658,0.646,90,equal
0.903,0.892,90,equal
0.619,0.625,90,equal
0.622,0.647,90,equal
0.466,0.454,90,equal
0.117,0.099,90,equal
0.302,0.286,90,equal
0.254,0.265,90,equal
0.733,0.741,90,equal
0.726,0.709,90,equal
0.107,0.157,90,equal
0.02,0.03,90,equal
0.251,0.238,90,equal
0.646,0.658,90,equal
0.933,0.959,90,equal
0.473,0.465,90,equal
0.243,0.261,90,equal
0.894,0.902,90,equal
0.563,0.605,90,equal
0.307,0.339,90,equal
0.505,0.508,90,equal
0.652,0.646,90,equal
0.891,0.914,90,equal
0.776,0.775,90,equal
0.615,0.613,90,equal
0.312,0.319,90,equal
0.492,0.492,90,equal
0.805,0.804,90,equal
0.603,0.578,90,equal
0.082,0.094,90,equal
0.492,0.456,90,equal
0.826,0.805,90,equal
0.284,0.281,90,equal
0.482,0.509,90,equal
0.308,0.285,90,equal
0.707,0.746,90,equal
0.445,0.472,90,equal
0.491,0.475,90,equal
0.347,0.298,90,equal
0.539,0.56,90,equal
0.495,0.487,90,equal
0.522,0.504,90,equal
0.703,0.675,90,equal
0.654,0.649,90,equal
0.182,0.187,90,equal
0.013,0.028,90,equal
0.674,0.688,90,equal
0.74,0.75,90,equal
0.421,0.412,90,equal
0.388,0.361,90,equal
0.386,0.374,90,equal
0.726,0.718,90,equal
0.928,0.933,90,equal
0.133,0.121,90,equal
0.097,0.102,90,equal
0.106,0.097,90,equal
0.489,0.504,90,equal
0.657,0.671,90,equal
0.232,0.21,90,equal
0.338,0.33,90,equal
0.911,0.912,90,equal
0.604,0.587,90,equal
0.352,0.37,90,equal
0.89,0.869,90,equal
0.276,0.271,90,equal
0.209,0.215,90,equal
0.474,0.493,90,equal
0.798,0.817,90,equal
0.259,0.261,90,equal
0.394,0.398,90,equal
0.2,0.214,90,equal
0.705,0.693,90,equal
0.132,0.119,90,equal
0.456,0.454,90,equal
0.597,0.668,90,equal
0.587,0.568,90,equal
0.144,0.142,90,equal
0.229,0.222,90,equal
0.987,0.989,90,equal
0.046,0.024,90,equal
0.943,0.958,90,equal
0.734,0.737,90,equal
0.213,0.225,90,equal
0.678,0.698,90,equal
0.587,0.603,90,equal
0.89,0.917,90,equal
0.602,0.67,90,equal
0.693,0.705,90,equal
0.973,0.973,90,equal
0.357,0.366,90,equal
0.337,0.352,90,equal
0.891,0.884,90,equal
0.695,0.691,90,equal
0.576,0.604,90,equal
0.363,0.36,90,equal
0.931,0.925,90,equal
0.762,0.752,90,equal
0.561,0.552,90,equal
0.148,0.158,90,equal
0.269,0.27,90,equal
0.338,0.374,90,equal
0.135,0.119,90,equal
0.894,0.887,90,equal
0.858,0.834,90,equal
0.069,0.063,90,equal
0.918,0.887,90,equal
0.224,0.238,90,equal
0.891,0.895,90,equal
0.617,0.629,90,equal
0.169,0.192,90,equal
0.178,0.187,90,equal
0.884,0.901,90,equal
0.324,0.344,90,equal
0.953,0.955,90,equal
0.358,0.383,90,equal
0.24,0.218,90,equal
0.273,0.272,90,equal
0.238,0.246,90,equal
0.647,0.644,90,equal
0.085,0.09,90,equal
0.317,0.316,90,equal
0.855,0.852,90,equal
0.18,0.186,90,equal
0.715,0.765,90,equal
0.512,0.535,90,equal
0.761,0.752,90,equal
0.323,0.318,90,equal
0.959,0.965,90,equal
0.051,0.055,90,equal
0.616,0.629,90,equal
0.803,0.793,90,equal
0.895,0.908,90,equal
0.886,0.886,90,equal
0.412,0.395,90,equal
0.027,0.031,90,equal
0.531,0.55,90,equal
0.905,0.913,90,equal
0.617,0.618,90,equal
0.339,0.346,90,equal
0.598,0.563,90,equal
0.697,0.71,90,equal
0.029,0.019,90,equal
0.917,0.91,90,equal
0.276,0.306,90,equal
0.016,0.04,90,equal
0.583,0.553,90,equal
0.08,0.069,90,equal
0.524,0.527,90,equal
0.807,0.775,90,equal
0.7,0.732,90,equal
0.018,0.032,90,equal
0.133,0.104,90,equal
0.934,0.92,90,equal
0.906,0.914,90,equal
0.787,0.79,90,equal
0.854,0.863,90,equal
0.576,0.615,90,equal
0.223,0.203,90,equal
0.326,0.328,90,equal
0.544,0.559,90,equal
0.096,0.105,90,equal
0.951,0.967,90,equal
0.353,0.392,90,equal
0.257,0.251,90,equal
0.38,0.362,90,equal
0.8,0.794,90,equal
0.233,0.212,90,equal
0.446,0.463,90,equal
0.581,0.564,90,equal
0.256,0.222,90,equal
0.337,0.338,90,equal
0.309,0.277,90,equal
0.918,0.923,90,equal
0.783,0.729,90,equal
0.554,0.537,90,equal
0.311,0.326,90,equal
0.653,0.644,90,equal
0.422,0.424,90,equal
0.809,0.808,90,equal
0.209,0.196,90,equal
0.516,0.535,90,equal
0.929,0.929,90,equal
0.472,0.459,90,equal
0.894,0.898,90,equal
0.824,0.823,90,equal
0.727,0.708,90,equal
0.146,0.165,90,equal
0.143,0.161,90,equal
0.999,0.997,90,equal
0.212,0.182,90,equal
0.621,0.589,90,equal
0.524,0.504,90,equal
0.07,0.082,90,equal
0.027,0.023,90,equal
0.349,0.363,90,equal
0.357,0.405,90,equal
0.065,0.064,90,equal
0.33,0.336,90,equal
0.442,0.479,90,equal
0.932,0.941,90,equal
0.048,0.062,90,equal
0.211,0.25,90,equal
0.06,0.068,90,equal
0.846,0.873,90,equal
0.048,0.013,90,equal
0.222,0.213,90,equal
0.194,0.209,90,equal
0.881,0.887,90,equal
0.933,0.916,90,equal
0.266,0.244,90,equal
0.484,0.42,90,equal
0.114,0.115,90,equal
0.956,0.95,90,equal
0.731,0.704,90,equal
0.893,0.887,90,equal
0.632,0.647,90,equal
0.873,0.869,90,equal
0.237,0.275,90,equal
0.071,0.085,90,equal
0.323,0.283,90,equal
0.274,0.309,90,equal
0.618,0.615,90,equal
0.371,0.372,90,equal
0.722,0.688,90,equal
0.42,0.453,90,equal
0.562,0.552,90,equal
0.403,0.381,90,equal
0.164,0.175,90,equal
0.912,0.908,90,equal
0.568,0.597,90,equal
0.24,0.245,90,equal
0.077,0.087,90,equal
0.731,0.726,90,equal
0.816,0.815,90,equal
0.102,0.107,90,equal
0.979,0.983,90,equal
0.43,0.457,90,equal
0.472,0.53,90,equal
0.254,0.228,90,equal
0.981,0.979,90,equal
0.491,0.475,90,equal
0.365,0.387,90,equal
0.785,0.782,90,equal
0.364,0.376,90,equal
0.684,0.691,90,equal
0.133,0.13,90,equal
0.724,0.727,90,equal
0.869,0.88,90,equal
0.724,0.721,90,equal
0.574,0.551,90,equal
0.658,0.659,90,equal
0.711,0.704,90,equal
0.408,0.429,90,equal
0.255,0.24,90,equal
0.897,0.896,90,equal
0.663,0.664,90,equal
0.687,0.672,90,equal
0.786,0.803,90,equal
0.889,0.867,90,equal
0.867,0.858,90,equal
0.017,0.007,90,equal
0.142,0.128,90,equal
0.953,0.94,90,equal
0.588,0.601,90,equal
0.558,0.568,90,equal
0.659,0.655,90,equal
0.541,0.508,90,equal
0.35,0.344,90,equal
0.405,0.378,90,equal
0.612,0.588,90,equal
0.994,0.996,90,equal
0.732,0.746,90,equal
0.513,0.561,90,equal
0.258,0.248,90,equal
0.416,0.435,90,equal
0.227,0.223,90,equal
0.114,0.135,90,equal
0.206,0.194,90,equal
0.024,0.015,90,equal
0.876,0.872,90,equal
0.148,0.173,90,equal
0.409,0.41,90,equal
0.049,0.06,90,equal
0.291,0.271,90,equal
0.992,0.993,90,equal
0.582,0.582,90,equal
0.275,0.277,90,equal
0.185,0.171,90,equal
0.033,0.042,90,equal
0.649,0.683,90,equal
0.958,0.954,90,equal
0.173,0.144,90,equal
0.831,0.844,90,equal
0.354,0.354,90,equal
0.823,0.827,90,equal
0.488,0.453,90,equal
0.852,0.834,90,equal
0.033,0.041,90,equal
0.045,0.057,90,equal
0.151,0.134,90,equal
0.82,0.82,90,equal
0.865,0.861,90,equal
0.925,0.916,90,equal
0.465,0.482,90,equal
0.991,0.995,90,equal
0.602,0.588,90,equal
0.938,0.926,90,equal
0.876,0.857,90,equal
0.366,0.343,90,equal
0.898,0.888,90,equal
0.593,0.559,90,equal
0.06,0.053,90,equal
0.64,0.578,90,equal
0.563,0.564,90,equal
0.156,0.161,90,equal
0.097,0.109,90,equal
0.513,0.493,90,equal
0.528,0.532,90,equal
0.572,0.582,90,equal
0.571,0.605,90,equal
0.369,0.367,90,equal
0.586,0.623,90,equal
0.241,0.255,90,equal
0.888,0.894,90,equal
0.827,0.816,90,equal
0.045,0.018,90,equal
0.879,0.874,90,equal
0.743,0.746,90,equal
0.335,0.319,90,equal
0.204,0.223,90,equal
0.711,0.725,90,equal
0.288,0.305,90,equal
0.593,0.602,90,equal
0.968,0.968,90,equal
0.441,0.476,90,equal
0.749,0.792,90,equal
0.473,0.479,90,equal
0.313,0.322,90,equal
0.167,0.165,90,equal
0.906,0.903,90,equal
0.173,0.188,90,equal
0.77,0.794,90,equal
0.107,0.11,90,equal
0.473,0.483,90,equal
0.948,0.952,90,equal
0.241,0.222,90,equal
0.406,0.415,90,equal
0.057,0.061,90,equal
0.521,0.486,90,equal
0.868,0.859,90,equal
0.478,0.454,90,equal
0.045,0.064,90,equal
0.506,0.522,90,equal
0.826,0.832,90,equal
0.654,0.619,90,equal
0.852,0.85,90,equal
0.306,0.309,90,equal
0.686,0.674,90,equal
0.663,0.659,90,equal
0.867,0.862,90,equal
0.384,0.399,90,equal
0.307,0.281,90,equal
0.956,0.946,90,equal
0.62,0.607,90,equal
0.611,0.613,90,equal
0.462,0.446,90,equal
0.393,0.384,90,equal
0.354,0.375,90,equal
0.567,0.556,90,equal
0.413,0.389,90,equal
0.079,0.064,90,equal
0.631,0.602,90,equal
0.07,0.066,90,equal
0.891,0.908,90,equal
0.306,0.31,90,equal
0.824,0.816,90,equal
0.911,0.925,90,equal
0.299,0.29,90,equal
0.113,0.134,90,equal
0.472,0.44,90,equal
0.794,0.823,90,equal
0.151,0.178,90,equal
0.114,0.118,90,equal
0.859,0.865,90,equal
0.842,0.832,90,equal
0.924,0.912,90,equal
0.622,0.604,90,equal
0.901,0.904,90,equal
0.476,0.461,90,equal
0.503,0.507,90,equal
0.973,0.972,90,equal
0.032,0.058,90,equal
0.366,0.367,90,equal
0.453,0.447,90,equal
0.689,0.721,90,equal
0.55,0.548,90,equal
0.084,0.089,90,equal
0.839,0.829,90,equal
0.206,0.188,90,equal
0.525,0.52,90,equal
0.939,0.952,90,equal
0.229,0.265,90,equal
0.175,0.172,90,equal
0.357,0.359,90,equal
0.037,0.042,90,equal
0.841,0.837,90,equal
0.758,0.756,90,equal
0.667,0.693,90,equal
0.242,0.255,90,equal
0.649,0.693,90,equal
0.102,0.101,90,equal
0.182,0.189,90,equal
0.478,0.451,90,equal
0.499,0.484,90,equal
0.127,0.114,90,equal
0.574,0.581,90,equal
0.615,0.629,90,equal
0.259,0.28,90,equal
0.999,1.0,90,equal
0.245,0.275,90,equal
0.7,0.68,90,equal
0.305,0.258,90,equal
0.755,0.753,90,equal
0.858,0.864,90,equal
0.896,0.913,90,equal
0.466,0.467,90,equal
0.704,0.691,90,equal
0.267,0.248,90,equal
0.415,0.424,90,equal
0.616,0.62,90,equal
0.717,0.741,90,equal
0.207,0.193,90,equal
0.08,0.086,90,equal
0.172,0.17,90,equal
0.523,0.517,90,equal
0.788,0.788,90,equal
0.826,0.824,90,equal
0.79,0.769,90,equal
0.894,0.916,90,equal
0.737,0.759,90,equal
0.526,0.529,90,equal
0.689,0.653,90,equal
0.373,0.334,90,equal
0.668,0.676,90,equal
0.631,0.624,90,equal
0.449,0.459,90,equal
0.769,0.778,90,equal
0.984,0.985,90,equal
0.594,0.557,90,equal
0.197,0.215,90,equal
0.065,0.062,90,equal
0.122,0.106,90,equal
0.243,0.237,90,equal
0.061,0.074,90,equal
0.242,0.247,90,equal
0.246,0.247,90,equal
0.796,0.774,90,equal
0.178,0.18,90,equal
0.766,0.765,90,equal
0.926,0.932,90,equal
0.639,0.663,90,equal
0.979,0.987,90,equal
0.979,0.971,90,equal
0.834,0.822,90,equal
0.913,0.905,90,equal
0.416,0.432,90,equal
0.2,0.187,90,equal
0.64,0.649,90,equal
0.485,0.486,90,equal
0.89,0.879,90,equal
0.481,0.48,90,equal
0.733,0.71,90,equal
0.339,0.386,90,equal
0.676,0.711,90,equal
0.35,0.298,90,equal
0.495,0.482,90,equal
0.985,0.984,90,equal
0.63,0.646,90,equal
0.34,0.347,90,equal
0.479,0.464,90,equal
0.298,0.318,90,equal
0.855,0.877,90,equal
0.546,0.561,90,equal
0.708,0.739,90,equal
0.074,0.08,90,equal
0.365,0.363,90,equal
0.275,0.29,90,equal
0.924,0.92,90,equal
0.679,0.702,90,equal
0.085,0.082,90,equal
0.8,0.796,90,equal
0.962,0.944,90,equal
0.644,0.647,90,equal
0.048,0.055,90,equal
0.887,0.886,90,equal
0.013,0.007,90,equal
0.222,0.23,90,equal
0.675,0.715,90,equal
0.918,0.909,90,equal
0.451,0.414,90,equal
0.328,0.336,90,equal
0.908,0.917,90,equal
0.323,0.324,90,equal
0.755,0.771,90,equal
0.743,0.749,90,equal
0.315,0.314,90,equal
0.171,0.205,90,equal
0.647,0.67,90,equal
0.004,0.003,90,equal
0.977,0.974,90,equal
0.238,0.222,90,equal
0.606,0.642,90,equal
0.933,0.908,90,equal
0.834,0.822,90,equal
0.788,0.798,90,equal
0.611,0.617,90,equal
0.994,0.995,90,equal
0.83,0.849,90,equal
0.985,0.978,90,equal
0.051,0.072,90,equal
0.704,0.676,90,equal
0.303,0.327,90,equal
0.359,0.376,90,equal
0.062,0.079,90,equal
0.05,0.017,90,equal
0.801,0.781,90,equal
0.552,0.574,90,equal
0.825,0.819,90,equal
0.744,0.731,90,equal
0.328,0.331,90,equal
0.008,0.011,90,equal
0.859,0.87,90,equal
0.696,0.687,90,equal
0.105,0.158,90,equal
0.165,0.18,90,equal
0.863,0.847,90,equal
0.956,0.949,90,equal
0.638,0.603,90,equal
0.141,0.16,90,equal
0.302,0.328,90,equal
0.858,0.851,90,equal
0.535,0.551,90,equal
0.014,0.031,90,equal
0.467,0.476,90,equal
0.61,0.6,90,equal
0.336,0.31,90,equal
0.959,0.969,90,equal
0.289,0.326,90,equal
0.7,0.731,90,equal
0.94,0.915,90,equal
0.138,0.139,90,equal
0.467,0.512,90,equal
0.502,0.506,90,equal
0.116,0.119,90,equal
0.605,0.614,90,equal
0.011,0.005,90,equal
0.497,0.531,90,equal
0.849,0.852,90,equal
0.238,0.233,90,equal
0.923,0.94,90,equal
0.582,0.601,90,equal
0.007,0.007,90,equal
0.916,0.907,90,equal
0.352,0.352,90,equal
0.542,0.524,90,equal
0.25,0.213,90,equal
0.363,0.35,90,equal
0.171,0.154,90,equal
0.277,0.238,90,equal
0.151,0.13,90,equal
0.048,0.027,90,equal
0.481,0.485,90,equal
0.019,0.028,90,equal
0.959,0.955,90,equal
0.859,0.854,90,equal
0.94,0.943,90,equal
0.221,0.212,90,equal
0.984,0.983,90,equal
0.298,0.308,90,equal
0.389,0.368,90,equal
0.061,0.07,90,equal
0.159,0.2,90,equal
0.206,0.217,90,equal
0.606,0.583,90,equal
0.01,0.023,90,equal
0.579,0.548,90,equal
0.478,0.493,90,equal
0.496,0.475,90,equal
0.823,0.839,90,equal
0.863,0.857,90,equal
0.224,0.258,90,equal
0.333,0.332,90,equal
0.926,0.938,90,equal
0.027,0.03,90,equal
0.62,0.621,90,equal
0.977,0.98,90,equal
0.752,0.759,90,equal
0.034,0.056,90,equal
0.811,0.844,90,equal
0.249,0.265,90,equal
0.813,0.821,90,equal
0.903,0.906,90,equal
0.433,0.426,90,equal
0.62,0.626,90,equal
0.479,0.445,90,equal
0.376,0.404,90,equal
0.584,0.568,90,equal
0.294,0.266,90,equal
0.155,0.183,90,equal
0.19,0.191,90,equal
0.478,0.493,90,equal
0.103,0.109,90,equal
0.684,0.689,90,equal
0.142,0.15,90,equal
0.183,0.152,90,equal
0.208,0.217,90,equal
0.744,0.762,90,equal
0.565,0.538,90,equal
0.579,0.598,90,equal
0.765,0.765,90,equal
0.437,0.453,90,equal
0.235,0.207,90,equal
0.841,0.846,90,equal
0.313,0.341,90,equal
0.863,0.865,90,equal
0.802,0.79,90,equal
0.975,0.976,90,equal
0.669,0.692,90,equal
0.363,0.364,90,equal
0.979,0.973,90,equal
0.366,0.349,90,equal
0.155,0.172,90,equal
0.752,0.735,90,equal
0.512,0.514,90,equal
0.975,0.986,90,equal
0.721,0.714,90,equal
0.095,0.081,90,equal
0.137,0.135,90,equal
0.141,0.156,90,equal
0.863,0.853,90,equal
0.021,0.032,90,equal
0.59,0.603,90,equal
0.011,0.031,90,equal
0.112,0.121,90,equal
0.09,0.081,90,equal
0.299,0.283,90,equal
0.685,0.677,90,equal
0.064,0.067,90,equal
0.18,0.185,90,equal
0.471,0.467,90,equal
0.544,0.513,90,equal
0.143,0.149,90,equal
0.441,0.452,90,equal
0.954,0.96,90,equal
0.188,0.154,90,equal
0.222,0.269,90,equal
0.353,0.358,90,equal
0.31,0.316,90,equal
0.521,0.494,90,equal
0.064,0.093,90,equal
0.138,0.131,90,equal
0.983,0.985,90,equal
0.007,0.033,90,equal
0.392,0.382,90,equal
0.448,0.438,90,equal
0.604,0.624,90,equal
0.203,0.213,90,equal
0.584,0.529,90,equal
0.643,0.643,90,equal
0.693,0.672,90,equal
0.092,0.106,90,equal
0.859,0.876,90,equal
0.455,0.45,90,equal
0.413,0.407,90,equal
0.844,0.844,90,equal
0.836,0.863,90,equal
0.209,0.251,90,equal
0.829,0.845,90,equal
0.618,0.587,90,equal
0.153,0.159,90,equal
0.568,0.557,90,equal
0.928,0.932,90,equal
0.499,0.457,90,equal
0.794,0.788,90,equal
0.17,0.159,90,equal
0.892,0.887,90,equal
0.247,0.223,90,equal
0.139,0.152,90,equal
0.405,0.404,90,equal
0.319,0.274,90,equal
0.584,0.587,90,equal
0.615,0.6,90,equal
0.786,0.826,90,equal
0.824,0.832,90,equal
0.752,0.745,90,equal
0.146,0.147,90,equal
0.581,0.597,90,equal
0.21,0.209,90,equal
0.693,0.726,90,equal
0.944,0.95,90,equal
0.185,0.191,90,equal
0.149,0.153,90,equal
0.352,0.382,90,equal
0.194,0.206,90,equal
0.928,0.916,90,equal
0.123,0.141,90,equal
0.919,0.915,90,equal
0.686,0.668,90,equal
0.995,0.999,90,equal
0.603,0.624,90,equal
0.864,0.864,90,equal
0.613,0.658,90,equal
0.155,0.17,90,equal
0.215,0.211,90,equal
0.838,0.845,90,equal
0.951,0.965,90,equal
0.646,0.634,90,equal
0.224,0.233,90,equal
0.188,0.156,90,equal
0.211,0.192,90,equal
0.35,0.372,90,equal
0.279,0.252,90,equal
0.477,0.466,90,equal
0.606,0.644,90,equal
0.818,0.807,90,equal
0.947,0.959,90,equal
0.518,0.545,90,equal
0.617,0.572,90,equal
0.757,0.786,90,equal
0.193,0.2,90,equal
0.863,0.856,90,equal
0.193,0.186,90,equal
0.849,0.831,90,equal
0.743,0.716,90,equal
0.287,0.305,90,equal
0.223,0.249,90,equal
0.974,0.969,90,equal
0.488,0.452,90,equal
0.33,0.366,90,equal
0.961,0.959,90,equal
0.866,0.869,90,equal
0.512,0.539,90,equal
0.489,0.499,90,equal
0.096,0.113,90,equal
0.803,0.799,90,equal
0.933,0.931,90,equal
0.873,0.877,90,equal
0.158,0.182,90,equal
0.466,0.441,90,equal
0.115,0.139,90,equal
0.344,0.34,90,equal
0.232,0.248,90,equal
0.822,0.822,90,equal
0.415,0.394,90,equal
0.846,0.857,90,equal
0.438,0.435,90,equal
0.981,0.991,90,equal
0.557,0.58,90,equal
0.128,0.137,90,equal
0.956,0.965,90,equal
0.421,0.418,90,equal
0.843,0.855,90,equal
0.437,0.405,90,equal
0.071,0.077,90,equal
0.93,0.925,90,equal
0.882,0.882,90,equal
0.809,0.794,90,equal
0.05,0.045,90,equal
0.633,0.633,90,equal
0.158,0.185,90,equal
0.58,0.535,90,equal
0.403,0.43,90,equal
0.403,0.365,90,equal
0.604,0.62,90,equal
0.195,0.194,90,equal
0.425,0.389,90,equal
0.007,0.001,90,equal
0.724,0.73,90,equal
0.849,0.846,90,equal
0.634,0.646,90,equal
0.251,0.261,90,equal
0.239,0.227,90,equal
0.465,0.423,90,equal
0.601,0.595,90,equal
0.192,0.219,90,equal
0.704,0.714,90,equal
0.303,0.316,90,equal
0.443,0.441,90,equal
0.223,0.219,90,equal
0.637,0.621,90,equal
0.352,0.33,90,equal
0.602,0.628,90,equal
0.518,0.523,90,equal
0.202,0.203,90,equal
0.355,0.362,90,equal
0.902,0.895,90,equal
0.95,0.956,90,equal
0.956,0.956,90,equal
0.609,0.613,90,equal
0.257,0.275,90,equal
0.065,0.072,90,equal
0.77,0.738,90,equal
0.825,0.843,90,equal
0.339,0.335,90,equal
0.595,0.606,90,equal
0.317,0.328,90,equal
0.003,0.002,90,equal
0.347,0.344,90,equal
0.124,0.127,90,equal
0.664,0.662,90,equal
0.2,0.206,90,equal
0.706,0.676,90,equal
0.933,0.94,90,equal
0.637,0.656,90,equal
0.013,0.009,90,equal
0.118,0.134,90,equal
0.617,0.58,90,equal
0.786,0.771,90,equal
0.365,0.357,90,equal
0.104,0.117,90,equal
0.13,0.123,90,equal
0.485,0.491,90,equal
0.96,0.954,90,equal
0.674,0.687,90,equal
0.416,0.405,90,equal
0.381,0.406,90,equal
0.613,0.625,90,equal
0.919,0.917,90,equal
0.71,0.706,90,equal
0.987,0.985,90,equal
0.229,0.239,90,equal
0.255,0.262,90,equal
0.861,0.837,90,equal
0.046,0.057,90,equal
0.87,0.871,90,equal
0.831,0.829,90,equal
0.923,0.878,90,equal
0.779,0.785,90,equal
0.912,0.927,90,equal
0.32,0.311,90,equal
0.404,0.437,90,equal
0.436,0.415,90,equal
0.463,0.467,90,equal
0.271,0.296,90,equal
0.436,0.442,90,equal
0.647,0.66,90,equal
0.881,0.9,90,equal
0.493,0.512,90,equal
0.565,0.591,90,equal
0.968,0.967,90,equal
0.047,0.062,90,equal
0.43,0.41,90,equal
0.597,0.592,90,equal
0.799,0.801,90,equal
0.904,0.911,90,equal
0.899,0.87,90,equal
0.4,0.393,90,equal
0.568,0.566,90,equal
0.847,0.814,90,equal
0.738,0.734,90,equal
0.523,0.542,90,equal
0.322,0.322,90,equal
0.341,0.362,90,equal
0.548,0.555,90,equal
0.683,0.693,90,equal
0.998,0.998,90,equal
0.046,0.035,90,equal
0.508,0.518,90,equal
0.313,0.316,90,equal
0.392,0.39,90,equal
0.045,0.058,90,equal
0.222,0.209,90,equal
0.548,0.515,90,equal
0.281,0.303,90,equal
0.757,0.769,90,equal
0.692,0.71,90,equal
0.982,0.971,90,equal
0.493,0.496,90,equal
0.033,0.052,90,equal
0.07,0.057,90,equal
0.559,0.608,90,equal
0.573,0.578,90,equal
0.855,0.83,90,equal
0.493,0.457,90,equal
0.761,0.772,90,equal
0.357,0.32,90,equal
0.807,0.793,90,equal
0.414,0.444,90,equal
0.983,0.975,90,equal
0.49,0.481,90,equal
0.368,0.379,90,equal
0.718,0.745,90,equal
0.579,0.595,90,equal
0.002,0.013,90,equal
0.668,0.666,90,equal
0.933,0.924,90,equal
0.127,0.137,90,equal
0.17,0.19,90,equal
0.944,0.935,90,equal
0.968,0.971,90,equal
0.763,0.757,90,equal
0.732,0.723,90,equal
0.338,0.318,90,equal
0.702,0.675,90,equal
0.439,0.427,90,equal
0.2,0.204,90,equal
0.626,0.625,90,equal
0.028,0.014,90,equal
0.216,0.236,90,equal
0.187,0.182,90,equal
0.837,0.827,90,equal
0.707,0.678,90,equal
0.599,0.638,90,equal
0.144,0.158,90,equal
0.742,0.745,90,equal
0.066,0.076,90,equal
0.483,0.47,90,equal
0.35,0.308,90,equal
0.58,0.622,90,equal
0.863,0.862,90,equal
0.939,0.953,90,equal
0.515,0.509,90,equal
0.704,0.733,90,equal
0.426,0.433,90,equal
0.541,0.488,90,equal
0.246,0.216,90,equal
0.126,0.129,90,equal
0.799,0.766,90,equal
0.969,0.973,90,equal
0.93,0.93,90,equal
0.415,0.43,90,equal
0.418,0.407,90,equal
0.712,0.733,90,equal
0.697,0.7,90,equal
0.559,0.567,90,equal
0.366,0.362,90,equal
0.291,0.279,90,equal
0.433,0.438,90,equal
0.256,0.195,90,equal
0.741,0.747,90,equal
0.017,0.009,90,equal
0.364,0.351,90,equal
0.41,0.39,90,equal
0.344,0.321,90,equal
0.717,0.745,90,equal
0.624,0.589,90,equal
0.711,0.736,90,equal
0.939,0.916,90,equal
0.513,0.52,90,equal
0.513,0.512,90,equal
0.04,0.051,90,equal
0.607,0.653,90,equal
0.364,0.36,90,equal
0.698,0.708,90,equal
0.726,0.699,90,equal
0.984,0.98,90,equal
0.249,0.245,90,equal
0.098,0.096,90,equal
0.6,0.609,90,equal
0.291,0.274,90,equal
0.282,0.288,90,equal
0.948,0.945,90,equal
0.32,0.31,90,equal
0.784,0.812,90,equal
0.756,0.754,90,equal
0.673,0.684,90,equal
0.083,0.082,90,equal
0.713,0.719,90,equal
0.001,0.001,90,linear
0.001,0.003,90,linear
0.001,0.003,90,linear
0.001,0.001,90,linear
0.002,0.007,90,linear
0.001,0.003,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.003,0.004,90,linear
0.002,0.001,90,linear
0.001,0.001,90,linear
0.003,0.005,90,linear
0.001,0.002,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.004,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.002,0.003,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.003,90,linear
0.006,0.006,90,linear
0.008,0.016,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.003,0.002,90,linear
0.001,0.001,90,linear
0.005,0.006,90,linear
0.001,0.001,90,linear
0.004,0.014,90,linear
0.001,0.001,90,linear
0.001,0.001,90,linear
0.001,0.003,90,linear
0.001,0.001,90,linear
0.001,0.006,90,linear
0.001,0.001,90,linear
0.001,0.005,90,linear
